priceUsd,time,circulatingSupply,date
98592.3378425375607085,1732244400000,19785646.0000000000000000,2024-11-22T03:00:00.000Z
98838.6909510252915864,1732248000000,19785712.0000000000000000,2024-11-22T04:00:00.000Z
98807.2289972355845967,1732251600000,19785712.0000000000000000,2024-11-22T05:00:00.000Z
98878.1771608788499873,1732255200000,19785743.0000000000000000,2024-11-22T06:00:00.000Z
98969.0645560799887185,1732258800000,19785743.0000000000000000,2024-11-22T07:00:00.000Z
99201.0072842251136728,1732262400000,19785762.0000000000000000,2024-11-22T08:00:00.000Z
98929.2288583029565061,1732266000000,19785762.0000000000000000,2024-11-22T09:00:00.000Z
98753.5481031359929256,1732269600000,19785821.0000000000000000,2024-11-22T10:00:00.000Z
98352.5196226995729433,1732273200000,19785821.0000000000000000,2024-11-22T11:00:00.000Z
98876.9069254780235067,1732276800000,19785859.0000000000000000,2024-11-22T12:00:00.000Z
98726.2386545520464496,1732280400000,19785859.0000000000000000,2024-11-22T13:00:00.000Z
97850.4618565511818678,1732284000000,19785900.0000000000000000,2024-11-22T14:00:00.000Z
97410.0864406560724658,1732287600000,19785900.0000000000000000,2024-11-22T15:00:00.000Z
98777.4881761170931634,1732291200000,19785940.0000000000000000,2024-11-22T16:00:00.000Z
98960.3307690165688733,1732294800000,19785940.0000000000000000,2024-11-22T17:00:00.000Z
98972.1170192165011040,1732298400000,19785962.0000000000000000,2024-11-22T18:00:00.000Z
99122.3032790541847736,1732302000000,19785962.0000000000000000,2024-11-22T19:00:00.000Z
99298.3542431385277124,1732305600000,19786003.0000000000000000,2024-11-22T20:00:00.000Z
99192.2860458463740470,1732309200000,19786003.0000000000000000,2024-11-22T21:00:00.000Z
99249.7390404943691973,1732312800000,19786031.0000000000000000,2024-11-22T22:00:00.000Z
98708.2363576577627288,1732316400000,19786031.0000000000000000,2024-11-22T23:00:00.000Z
98923.2071333140464953,1732320000000,19786071.0000000000000000,2024-11-23T00:00:00.000Z
98670.8827667827467694,1732323600000,19786071.0000000000000000,2024-11-23T01:00:00.000Z
98599.0554024461510764,1732327200000,19786093.0000000000000000,2024-11-23T02:00:00.000Z
98446.2190623307816999,1732330800000,19786093.0000000000000000,2024-11-23T03:00:00.000Z
98662.9038726387547490,1732334400000,19786140.0000000000000000,2024-11-23T04:00:00.000Z
98479.1695567868378037,1732338000000,19786140.0000000000000000,2024-11-23T05:00:00.000Z
98737.9040696442388707,1732341600000,19786168.0000000000000000,2024-11-23T06:00:00.000Z
98704.9300120985347650,1732345200000,19786168.0000000000000000,2024-11-23T07:00:00.000Z
