id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
akropolis,293,AKRO,Kaon,4436209629.9212020000000000,,19891386.5261111270361852,7172710.9334434555241140,0.0044838698315671,-19.1200891064397162,0.0051651610644589,https://etherscan.io/token/0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7
suku,294,SUKU,Suku,178403406.7949236000000000,,19019965.9430821564377831,2544563.5385179758864968,0.1066121229677289,-16.7985637874481694,0.1148138664273199,https://etherscan.io/token/0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7
mxc,295,MXC,Moonchain,2664965800.0000000000000000,,17884377.2735358034073000,2151245.8764892038651670,0.0067109218713185,-27.7022441850362539,0.0078803280832371,https://etherscan.io/token/0x5ca381bbfb58f0092df149bd3d243b08b9a8386e
phantasma,296,SOUL,Phantasma,124129197.6616305600000000,,17454893.1237367635248403,294740.5213615139761609,0.1406187541090683,-15.6054358662085033,0.1584214776670003,https://neotracker.io/asset/ed07cffad18f1308db51920d99a2af60ac66a7b3
keep3rv1,297,KP3R,Keep3rV1,425178.0000000000000000,,15991808.1104871937838952,1345326.4079889462626162,37.6120309858158084,-17.6294878420593407,42.5107951704838765,https://etherscan.io/token/0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44
newscrypto,298,NWC,Numerico,150400833.6986073300000000,,14655596.1049709590128578,100401.7558837339417999,0.0974435828882421,-11.3163630688695811,0.1072885851165831,https://stellar.expert/explorer/public/asset/NWC-GAAPUOQWOZAG3PENRN7FEPYWXVGJBJVBL6EUE2ZHN5TSY7WBXQDO7AY2
solanium,299,SLIM,Solanium,100000000.0000000000000000,,13231490.3155279400000000,242492.2267368058344232,0.1323149031552794,-13.1182928708938357,0.1415620919710935,https://explorer.solana.com/address/xxxxa1sKNGwFtw2kFn8XauW9xq8hBZ5kVtcSesTT9fW
rally,300,RLY,Rally,5236292285.1505790000000000,,13111822.0886203460046478,107485.9785517422049309,0.0025040279217804,-9.9623105259946718,0.0026600965288157,https://etherscan.io/token/0xf1f955016EcbCd7321c7266BccFB96c68ea5E49b
hydra,301,HYDRA,Hydra,19953054.0200000000000000,,12663784.8769507529003206,178208.6593313703264120,0.6346790252889193,-8.4970820300147111,0.6757538188017910,https://explorer.hydrachain.org/
mdex,302,MDX,Mdex,950246937.3946000000000000,,11954351.1932779823626084,244674.9859286266012187,0.0125802575339570,-4.9549690048860971,0.0126848193188532,https://hecoinfo.com/token/0x25d2e80cb6b86881fd7e07dd263fb79f4abe033c
deeper-network,303,DPR,Deeper Network,2881353926.6865100000000000,10000000000.0000000000000000,11720374.1743654476027732,141160.0119800851529460,0.0040676621035041,-13.4937975573498406,0.0043799594767704,https://etherscan.io/token/0xf3ae5d769e153ef72b4e3591ac004e89f48107a1
xend-finance,304,RWA,Xend Finance,107033500.2700000000000000,,11400025.2130096985946793,8591483.3743954972333593,0.1065089451830715,6.0714545405696412,0.1145185810743239,https://etherscan.io/token/0xE4CFE9eAa8Cdb0942A80B7bC68fD8Ab0F6D44903
apenft,305,NFT,APENFT,19999800000000.0000000000000000,999990000000000.0000000000000000,11265208.7307861600000000,18529255.2021769449232407,0.0000005632660692,-14.6209506075678841,0.0000006118523014,https://tronscan.org/#/token20/TFczxzPhnThNSqr5by8tvxsdCFRRz6cPNq
burger-swap,306,BURGER,BurgerCities,20624800.8434101300000000,210000000.0000000000000000,11107852.5329829091069383,5785600.0233984668055492,0.5385677475054020,-18.4221964752723488,0.6132503798036111,https://www.bscscan.com/token/0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f
serum,307,SRM,Serum,263244669.0000000000000000,,10639558.3536172547625684,769701.7792246391842360,0.0404169945550436,-8.9385843277179729,0.0414630760720925,https://etherscan.io/token/0x476c5e26a75bd202a9683ffd34359c0cc15be0ff
metahero,308,HERO,Metahero,5750000000.0000000000000000,10000000000.0000000000000000,10585711.3659432000000000,108070.4486047718236341,0.0018409932810336,-5.9780555087797385,0.0018595190140300,https://bscscan.com/token/0xD40bEDb44C081D2935eebA6eF5a3c8A31A1bBE13
sharetoken,309,SHR,ShareToken,2370272782.1065750000000000,,10365130.7695985531723847,392136.2495923490145925,0.0043729695787953,-18.7192899745997202,0.0050045737678271,https://explorer.binance.org/asset/SHR-DB6
hapi-one,310,HAPI,HAPI Protocol,732232.6788127400000000,1000000.0000000000000000,10345694.1461508783424861,188183.4372716618642431,14.1289708114716216,-4.1363333570488231,14.4149231962221554,https://etherscan.io/token/0xd9c2d319cd7e6177336b0a9c93c21cb48d84fb54
bitshares,311,BTS,BitShares,2995060000.0000000000000000,3600570502.0000000000000000,9766425.1744741502080000,123730.4505719116623737,0.0032608445822368,-15.2189366421489503,0.0036382880823623,http://cryptofresh.com/
celsius,312,CEL,Celsius,37720111.0000000000000000,,9188836.0720441141719863,1350988.4039162007549211,0.2436057537594233,-3.7379724326724742,0.2715582843553797,https://etherscan.io/token/0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d
sylo,313,SYLO,Sylo,5806355808.3910000000000000,10000000000.0000000000000000,8861883.1238019792006949,558849.8989514765919104,0.0015262383870784,-5.0034641348614474,0.0015693622333425,https://etherscan.io/token/0xf293d23bf2cdc05411ca0eddd588eb1977e8dcd4
epns,314,PUSH,Push Protocol,60365125.0000000000000000,,8549140.9896348080599250,1538532.4071154323124292,0.1416238430655914,-22.8481730185710348,0.1589191470809835,https://etherscan.io/token/0xf418588522d5dd018b425E472991E52EBBeEEEEE
barnbridge,315,BOND,BarnBridge,7910262.2910151400000000,10000000.0000000000000000,8003246.6101695505918235,1472038.0804437886913571,1.0117548970860330,-32.1668937720159918,1.2671691360029769,https://etherscan.io/token/0x0391D2021f89DC339F60Fff84546EA23E337750f
unifi-protocol-dao,316,UNFI,Unifi Protocol DAO,9548650.1035729100000000,10000000.0000000000000000,7882661.3649437102513510,2764961.6379078857131620,0.8255262554854931,-22.8973239341175439,0.9891022298587184,https://bscscan.com/address/0x728C5baC3C3e370E372Fc4671f9ef6916b814d8B
bitkan,317,KAN,BitKan,9591789187.0868630000000000,,7661953.5506480415397774,246662.5160494025323144,0.0007988033724681,-0.3279021470080847,0.0007960600181073,https://etherscan.io/token/0x1410434b0346f5be678d0fb554e5c7ab620f8f4a
